,ja,en
0,の,of
1,に,On
2,する,do
3,は,teeth
4,を,of
5,が,But
6,と,When
7,年,Year
8,で,so
9,だ,is
10,月,Moon
11,も,and
12,から,from
13,日,Day
14,成る,Become
15,こと,thing
16,有る,Have
17,よる,evening
18,や,or
19,など,Such
20,言う,To tell
21,日本,Japan
22,為,For
23,この,this
24,人,Man
25,その,That
26,まで,to
27,もの,thing
28,へ,What
29,又,or
30,これ,this
31,行う,conduct
32,よう,So
33,出来る,Be ready
34,駅,station
35,国,Country
36,より,Than
37,大学,University
38,後,rear
39,か,mosquito
40,線,line
41,ぬ,Lantern
42,放送,broadcast
43,号,issue
44,軍,army
45,無い,No
46,部,Department
47,所,Place
48,名,Name
49,回,times
50,世界,world
51,時,Time
52,戦,War
53,時代,Era
54,東京,Tokyo
55,おく,back
56,でも,but
57,呼ぶ,Call
58,その後,afterwards
59,それ,It
60,機,Machine
61,会う,meet
62,受ける,receive
63,多い,many
64,選手,player
65,場合,case
66,対する,Vain
67,しかし,However
68,つく,arrive
69,昭和,Showa
70,地,Earth
71,中,During ~
72,使用,use
73,共に,both
74,学校,school
75,語,word
76,彼,he
77,行く,go
78,アメリカ,America
79,当時,at that time
80,番組,program
81,車,car
82,社,Shrine
83,川,river
84,位,Position
85,見る,look
86,テレビ,tv set
87,系,system
88,研究,the study
89,町,town
90,存在,Existence
91,活動,Activity
92,発売,Release
93,他,other
94,出身,where one is from
95,年代,Age
96,会社,society
97,権,Right
98,開発,development
99,分,Part
100,西,West
101,法,Law
102,局,Bureau
103,更に,Further
104,のみ,only
105,間,while
106,山,Mountain
107,式,formula
108,なお,note that
109,可能,Possible
110,ドイツ,Germany
111,代表,representative
112,使う,use
113,同じ,same
114,曲,song
115,地域,area
116,作,Work
117,事,case
118,版,Plate
119,取る,take
120,登場,Appearance
121,チーム,team
122,世,world
123,時間,time
124,於ける,on
125,中心,center
126,大会,Conference
127,多く,Many
128,南,South
129,シリーズ,series
130,賞,award
131,北,North
132,開始,start
133,フランス,France
134,一部,part
135,始める,start
136,平成,Heisei
137,知る,know
138,子,Child
139,ゲーム,game
140,道,road
141,角,Horn
142,用いる,Use
143,および,and
144,館,Mansion
145,体,body
146,世紀,century
147,音楽,music
148,参加,Participation
149,発表,publication
150,記録,record
151,掛ける,Put on
152,高い,expensive
153,利用,use
154,際,edge
155,出場,Participation
156,国際,international
157,リーグ,league
158,所属,Belongs
159,務める,serve
160,関係,relationship
161,考える,think
162,イギリス,England
163,生まれる,to be born
164,入る,come in
165,度,Every time
166,州,state
167,全て,all
168,生,Raw
169,点,point
170,力,Power
171,良い,good
172,だけ,only
173,王,king
174,試合,game
175,得る,obtain
176,優勝,win
177,都市,City
178,含む,include
179,アルバム,album
180,込む,In
181,問題,problem
182,シーズン,Season
183,開催,hold
184,大阪,Osaka
185,位置,position
186,監督,directed by
187,上,Up
188,主,main
189,設置,Installation
190,郡,county
191,物,Stuff
192,艦,Ship
193,地方,Region
194,隊,Corps
195,期,Period
196,城,castle
197,にて,At
198,長,Long
199,計画,plan
200,番,Rank
201,必要,necessary
202,出す,put out
203,一般,Ordinary
204,変更,Change
205,本,Book
206,中央,Center
207,関する,Be involved
208,出る,Come out
209,出演,Appearance
210,作る,make
211,基,Base
212,事業,business
213,委員,Committee member
214,バス,bus
215,以下,Less than
